T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,overheat_flag
19.975,18.5,19.0,17.299999,71.510002,59.419998,88.0,0.0,0.0,0
19.975,18.5,19.02,17.299999,71.540001,59.359997,88.0,0.0,0.0,0
19.975,18.5,19.0,17.299999,71.610001,59.349998,91.0,0.0,0.0,0
19.965,18.5,19.039999,17.299999,71.479996,59.299999,94.0,0.0,0.0,0
19.975,18.5,19.1,17.299999,71.479996,59.27,94.0,0.0,0.0,0
19.984999,18.5,19.1,17.299999,71.540001,59.219997,94.0,0.0,0.0,0
19.975,18.5,19.08,17.299999,71.479996,59.189999,94.0,0.0,0.0,0
19.965,18.5,19.08,17.299999,71.459999,59.219997,94.0,0.0,0.0,0
19.969999,18.5,19.1,17.299999,71.419998,59.189999,97.0,0.0,0.0,0
19.969999,18.5,19.1,17.299999,71.369995,59.189999,100.0,0.0,0.0,0
19.965,18.5,19.1,17.299999,71.459999,59.189999,100.0,0.0,0.0,0
19.975,18.5,19.119999,17.299999,71.400002,59.119999,100.0,0.0,0.0,0
19.975,18.5,19.139999,17.299999,71.369995,59.119999,100.0,0.0,0.0,0
21.695,18.5,16.52,17.299999,72.110001,54.439999,100.0,9.0,5.292,0
21.57,18.5,16.74,17.299999,71.860001,55.279999,100.0,13.0,5.256,0
21.504999,18.5,17.32,17.299999,70.339996,55.779999,100.0,13.0,5.256,0
21.494999,18.5,17.799999,17.299999,69.0,56.02,100.0,13.0,5.232,0
21.504999,18.5,15.559999,17.299999,73.549995,56.18,100.0,14.0,5.208,0
21.414999,18.5,13.54,17.299999,80.549995,56.399998,97.0,13.0,5.244,0
21.264999,18.5,13.299999,17.299999,81.459999,56.719997,94.0,13.0,5.244,0
21.184999,18.5,14.12,17.299999,80.129997,57.009998,94.0,13.0,5.256,0
21.164999,18.5,15.339999,17.299999,75.949997,57.27,94.0,13.0,5.196,0
21.205,18.5,15.9,16.299999,73.970001,57.32,94.0,14.0,3.636,0
